jd,source_filename,stage2_rank,stage2_score,expected_stage1,expected_relevance_band,expected_relevance_score,actual_stage1,stage3_attempts,final_status,final_score,failure_code
JD04,CV0888.pdf,1,1.5075,REVIEW,moderate,88.56,REVIEW,1,REVIEW_REQUIRED,66.5,
JD04,CV0869.pdf,2,1.4815,PASS,high,89.0,REVIEW,1,REVIEW_REQUIRED,73.3,
JD04,CV0994.pdf,3,1.3714,PASS,high,89.0,REVIEW,1,REVIEW_REQUIRED,49.0,
JD04,CV0878.pdf,4,1.3595,REVIEW,moderate,94.0,REVIEW,1,REVIEW_REQUIRED,80.5,
JD04,CV1000.pdf,5,1.308,REVIEW,moderate,89.0,REVIEW,1,REVIEW_REQUIRED,66.9,
JD04,CV0874.pdf,6,1.2492,FAIL,moderate,87.11,REVIEW,1,REVIEW_REQUIRED,61.5,
JD04,CV0884.pdf,7,1.2397,PASS,high,87.0,REVIEW,1,REVIEW_REQUIRED,60.5,
JD04,CV0968.pdf,8,1.1664,FAIL,moderate,90.22,REVIEW,1,REVIEW_REQUIRED,57.5,
JD04,CV0830.pdf,9,1.1419,PASS,high,89.0,REVIEW,1,REVIEW_REQUIRED,69.5,
JD04,CV0872.pdf,10,1.1357,PASS,high,91.0,REVIEW,1,REVIEW_REQUIRED,61.5,
JD04,CV0981.pdf,11,1.0556,PASS,high,91.0,REVIEW,1,REVIEW_REQUIRED,72.0,
JD04,CV0911.pdf,12,1.0497,FAIL,low,55.75,REVIEW,1,REVIEW_REQUIRED,45.0,
JD04,CV0703.pdf,13,1.0378,REVIEW,moderate,85.0,REVIEW,1,REVIEW_REQUIRED,68.5,
JD04,CV0786.pdf,14,1.0272,REVIEW,moderate,87.0,REVIEW,1,REVIEW_REQUIRED,54.5,
JD04,CV0940.pdf,15,0.9935,PASS,high,91.0,REVIEW,1,REVIEW_REQUIRED,59.2,
JD04,CV0800.pdf,16,0.9608,REVIEW,moderate,70.75,REVIEW,1,REVIEW_REQUIRED,61.0,
JD04,CV0990.pdf,17,0.9475,PASS,high,91.0,REVIEW,1,REVIEW_REQUIRED,64.7,
JD04,CV0687.pdf,18,0.9179,REVIEW,moderate,78.89,REVIEW,1,REVIEW_REQUIRED,49.0,
JD04,CV0992.pdf,19,0.9048,PASS,high,94.0,REVIEW,1,REVIEW_REQUIRED,55.0,
JD04,CV0999.pdf,20,0.898,PASS,high,89.0,REVIEW,1,REVIEW_REQUIRED,55.0,
JD04,CV0909.pdf,21,0.8931,PASS,high,87.0,REVIEW,1,REVIEW_REQUIRED,70.8,
JD04,CV0813.pdf,22,0.8744,PASS,high,89.0,REVIEW,1,REVIEW_REQUIRED,57.0,
JD04,CV0873.pdf,23,0.8692,REVIEW,moderate,72.75,REVIEW,1,REVIEW_REQUIRED,63.6,
JD04,CV0875.pdf,24,0.8685,REVIEW,moderate,74.75,REVIEW,1,REVIEW_REQUIRED,61.2,
JD04,CV0779.pdf,25,0.861,REVIEW,moderate,89.0,REVIEW,1,REVIEW_REQUIRED,67.0,
JD04,CV0208.pdf,26,0.8495,REVIEW,moderate,87.0,REVIEW,1,REVIEW_REQUIRED,45.8,
JD04,CV0834.pdf,27,0.8101,REVIEW,moderate,74.75,REVIEW,1,REVIEW_REQUIRED,66.5,
JD04,CV0809.pdf,28,0.785,REVIEW,moderate,76.0,REVIEW,1,REVIEW_REQUIRED,64.5,
JD04,CV0833.pdf,29,0.7564,FAIL,moderate,81.22,REVIEW,1,REVIEW_REQUIRED,63.7,
JD04,CV0991.pdf,30,0.7497,PASS,high,91.0,REVIEW,1,REVIEW_REQUIRED,67.0,
JD02,CV0526.pdf,1,1.2888,PASS,high,91.67,REVIEW,1,SUCCESS,79.4,
JD02,CV0389.pdf,2,1.049,FAIL,moderate,75.0,REVIEW,1,REVIEW_REQUIRED,61.0,
JD02,CV0520.pdf,3,0.7964,PASS,high,95.0,REVIEW,1,REVIEW_REQUIRED,56.0,
JD02,CV0500.pdf,4,0.4901,PASS,high,88.33,REVIEW,1,REVIEW_REQUIRED,66.5,
JD02,CV0209.pdf,5,0.4165,REVIEW,moderate,75.42,REVIEW,1,REVIEW_REQUIRED,75.3,
JD02,CV0386.pdf,6,0.2291,REVIEW,moderate,88.33,REVIEW,1,REVIEW_REQUIRED,81.5,
JD02,CV0505.pdf,7,0.2213,REVIEW,moderate,91.67,REVIEW,1,REVIEW_REQUIRED,68.2,
